,frequent_itemset,support
0,"('1liv', '2pop')",11.12231182795699
1,"('1liv', '1pop')",10.665322580645162
2,"('1liv', '2dan')",10.221774193548388
3,"('1liv', '2aco')",13.951612903225808
4,"('1liv', '1dan')",11.59274193548387
5,"('1liv', '2ins')",11.76747311827957
6,"('1liv', '1dur')",10.73252688172043
7,"('1liv', '1tem')",10.369623655913978
8,"('1liv', '0lou')",12.65456989247312
9,"('1liv', '2tem')",10.30241935483871
10,"('1liv', '1lou')",11.182795698924732
11,"('1liv', '0tem')",12.150537634408602
12,"('1liv', '1spe')",10.34274193548387
13,"('1liv', '0dur')",12.170698924731182
14,"('1liv', '0ins')",11.155913978494624
15,"('1liv', '1val')",11.740591397849462
16,"('1liv', '0spe')",12.896505376344086
17,"('1liv', '0val')",11.814516129032258
18,"('1liv', '1aco')",10.349462365591398
19,"('1liv', '0dan')",11.008064516129032
20,"('1liv', '0pop')",11.03494623655914
21,"('2pop', '2dan')",11.189516129032258
22,"('2pop', '2liv')",10.651881720430108
23,"('2pop', '2val')",10.92741935483871
24,"('2pop', '2aco')",12.701612903225806
25,"('2pop', '1dan')",11.720430107526882
26,"('2pop', '1ins')",10.053763440860216
27,"('2pop', '1dur')",12.110215053763442
28,"('2pop', '1tem')",10.651881720430108
29,"('2pop', '0lou')",10.026881720430108
30,"('2pop', '2lou')",10.940860215053764
31,"('2pop', '2tem')",11.115591397849462
32,"('2pop', '1lou')",11.975806451612902
33,"('2pop', '0tem')",11.176075268817204
34,"('2pop', '1spe')",11.021505376344086
35,"('2pop', '0dur')",10.893817204301074
36,"('2pop', '0ins')",16.13575268817204
37,"('2pop', '1val')",11.538978494623656
38,"('2pop', '0spe')",13.655913978494624
39,"('2pop', '0val')",10.477150537634408
40,"('2pop', '1aco')",12.345430107526882
41,"('2pop', '0dan')",10.033602150537636
42,"('2pop', '0liv')",11.169354838709678
43,"('1pop', '2liv')",12.3252688172043
44,"('1pop', '2val')",12.84274193548387
45,"('1pop', '2spe')",11.96236559139785
46,"('1pop', '2aco')",11.061827956989246
47,"('1pop', '1dan')",12.137096774193548
48,"('1pop', '1ins')",12.318548387096774
49,"('1pop', '1dur')",11.875
50,"('1pop', '1tem')",10.275537634408602
51,"('1pop', '0lou')",10.094086021505376
52,"('1pop', '2lou')",11.827956989247312
53,"('1pop', '2tem')",11.700268817204302
54,"('1pop', '0aco')",10.846774193548388
55,"('1pop', '1lou')",11.095430107526882
56,"('1pop', '0tem')",11.041666666666666
57,"('1pop', '0dur')",12.043010752688172
58,"('1pop', '0ins')",11.46505376344086
59,"('1pop', '1val')",11.129032258064516
60,"('1pop', '0spe')",11.35752688172043
61,"('1pop', '1aco')",11.108870967741936
62,"('1pop', '0dan')",11.149193548387098
63,"('1pop', '0liv')",10.026881720430108
64,"('2dan', '2val')",17.788978494623656
65,"('2dan', '2spe')",13.051075268817206
66,"('2dan', '1ins')",10.241935483870968
67,"('2dan', '2ins')",11.518817204301076
68,"('2dan', '1tem')",16.176075268817204
69,"('2dan', '2lou')",10.719086021505376
70,"('2dan', '2dur')",10.161290322580644
71,"('2dan', '0aco')",10.64516129032258
72,"('2dan', '1lou')",12.762096774193548
73,"('2dan', '0tem')",10.181451612903226
74,"('2dan', '1spe')",12.311827956989248
75,"('2dan', '0dur')",13.225806451612904
76,"('2dan', '0ins')",11.498655913978496
77,"('2dan', '1val')",10.564516129032258
78,"('2dan', '1aco')",14.012096774193546
79,"('2dan', '0liv')",14.905913978494622
80,"('2dan', '0pop')",12.338709677419354
81,"('2liv', '2val')",12.291666666666666
82,"('2liv', '2spe')",13.306451612903224
83,"('2liv', '1dan')",11.895161290322582
84,"('2liv', '1ins')",12.26478494623656
85,"('2liv', '1dur')",11.908602150537634
86,"('2liv', '1tem')",10.235215053763442
87,"('2liv', '2lou')",14.381720430107528
88,"('2liv', '2tem')",12.573924731182796
89,"('2liv', '2dur')",10.43010752688172
90,"('2liv', '0aco')",12.883064516129034
91,"('2liv', '1lou')",10.490591397849462
92,"('2liv', '0tem')",10.456989247311828
93,"('2liv', '1spe')",10.396505376344086
94,"('2liv', '0dur')",10.92741935483871
95,"('2liv', '0ins')",12.708333333333332
96,"('2liv', '1val')",10.530913978494624
97,"('2liv', '0val')",10.443548387096774
98,"('2liv', '1aco')",11.948924731182796
99,"('2liv', '0dan')",13.239247311827956
100,"('2liv', '0pop')",10.288978494623656
101,"('2val', '2spe')",11.451612903225806
102,"('2val', '1dan')",12.063172043010754
103,"('2val', '1ins')",11.935483870967742
104,"('2val', '1dur')",12.39247311827957
105,"('2val', '1tem')",12.520161290322582
106,"('2val', '2lou')",14.401881720430106
107,"('2val', '2tem')",11.471774193548386
108,"('2val', '1lou')",11.989247311827956
109,"('2val', '1spe')",11.538978494623656
110,"('2val', '0dur')",12.977150537634408
111,"('2val', '0ins')",15.067204301075268
112,"('2val', '0spe')",10.28225806451613
113,"('2val', '1aco')",14.905913978494622
114,"('2val', '0liv')",11.713709677419356
