,frequent_itemset,support
0,"('0liv', '0pop')",12.715053763440858
1,"('0dan', '0pop')",12.24462365591398
2,"('1aco', '0liv')",11.0752688172043
3,"('0val', '0pop')",13.844086021505376
4,"('0val', '0liv')",11.108870967741936
5,"('0val', '0dan')",20.772849462365592
6,"('0spe', '0liv')",10.907258064516128
7,"('0spe', '0dan')",11.881720430107528
8,"('0spe', '1aco')",10.692204301075268
9,"('0spe', '0val')",11.666666666666666
10,"('1val', '0pop')",10.692204301075268
11,"('1val', '0liv')",11.088709677419354
12,"('1val', '1aco')",10.638440860215054
13,"('1val', '0spe')",11.418010752688172
14,"('0ins', '1aco')",15.631720430107526
15,"('0ins', '0spe')",12.876344086021504
16,"('0ins', '1val')",12.634408602150538
17,"('0dur', '0pop')",10.403225806451614
18,"('0dur', '0liv')",10.241935483870968
19,"('0dur', '0dan')",10.080645161290322
20,"('0dur', '1aco')",11.599462365591398
21,"('0dur', '0val')",10.10752688172043
22,"('0dur', '1val')",10.255376344086022
23,"('0dur', '0ins')",11.619623655913978
24,"('1spe', '0pop')",12.620967741935484
25,"('1spe', '0liv')",12.600806451612904
26,"('1spe', '0dan')",11.162634408602152
27,"('1spe', '0val')",11.841397849462364
28,"('1spe', '0dur')",10.853494623655914
29,"('0tem', '0pop')",11.12231182795699
30,"('0tem', '0liv')",10.73252688172043
31,"('0tem', '0dan')",12.80241935483871
32,"('0tem', '1aco')",11.418010752688172
33,"('0tem', '0val')",12.896505376344086
34,"('0tem', '0spe')",11.834677419354838
35,"('0tem', '1val')",11.162634408602152
36,"('0tem', '0ins')",11.666666666666666
37,"('0tem', '0dur')",14.166666666666666
38,"('1lou', '0pop')",10.262096774193548
39,"('1lou', '0liv')",11.65994623655914
40,"('1lou', '1aco')",12.594086021505376
41,"('1lou', '0spe')",12.755376344086022
42,"('1lou', '1val')",12.06989247311828
43,"('1lou', '0ins')",12.365591397849462
44,"('1lou', '1spe')",10.073924731182796
45,"('1lou', '0tem')",10.504032258064516
46,"('0aco', '0pop')",14.59005376344086
47,"('0aco', '0liv')",11.928763440860216
48,"('0aco', '0dan')",11.895161290322582
49,"('0aco', '0val')",12.271505376344086
50,"('0aco', '1val')",12.02284946236559
51,"('0aco', '1spe')",13.38037634408602
52,"('0aco', '1lou')",11.646505376344086
53,"('2dur', '0pop')",14.294354838709678
54,"('2dur', '0liv')",12.983870967741936
55,"('2dur', '0dan')",13.08467741935484
56,"('2dur', '0val')",14.536290322580644
57,"('2dur', '0spe')",11.35752688172043
58,"('2dur', '1val')",10.893817204301074
59,"('2dur', '1spe')",12.02284946236559
60,"('2dur', '1lou')",12.493279569892474
61,"('2dur', '0aco')",15.678763440860216
62,"('2tem', '0pop')",10.51747311827957
63,"('2tem', '0liv')",10.456989247311828
64,"('2tem', '0dan')",13.9247311827957
65,"('2tem', '1aco')",11.391129032258064
66,"('2tem', '0val')",10.356182795698924
67,"('2tem', '1val')",11.505376344086022
68,"('2tem', '0ins')",11.935483870967742
69,"('2tem', '0dur')",10.705645161290322
70,"('2tem', '1spe')",10.745967741935484
71,"('2tem', '1lou')",10.618279569892474
72,"('2tem', '0aco')",12.634408602150538
73,"('2tem', '2dur')",10.64516129032258
74,"('2lou', '0pop')",10.564516129032258
75,"('2lou', '1aco')",12.909946236559138
76,"('2lou', '1val')",11.65994623655914
77,"('2lou', '0ins')",15.309139784946236
78,"('2lou', '1spe')",10.75268817204301
79,"('2lou', '0aco')",16.108870967741936
80,"('2lou', '2tem')",14.583333333333334
81,"('0lou', '0pop')",13.212365591397848
82,"('0lou', '0liv')",12.28494623655914
83,"('0lou', '0dan')",15.020161290322582
84,"('0lou', '0val', '0dan')",11.673387096774194
85,"('0lou', '0val')",16.821236559139784
86,"('0lou', '0spe')",13.185483870967744
87,"('0lou', '0dur')",14.186827956989248
88,"('0lou', '1spe')",12.513440860215052
89,"('0lou', '0tem')",14.321236559139786
90,"('0lou', '2dur')",10.974462365591398
91,"('1tem', '0pop')",12.399193548387096
92,"('1tem', '0liv')",12.721774193548388
93,"('1tem', '1aco')",10.564516129032258
94,"('1tem', '0val')",10.114247311827956
95,"('1tem', '0spe')",12.016129032258064
96,"('1tem', '1val')",10.692204301075268
97,"('1tem', '1spe')",12.641129032258064
98,"('1tem', '1lou')",12.211021505376344
99,"('1tem', '0aco')",14.045698924731182
100,"('1tem', '2dur')",14.287634408602152
101,"('1tem', '2lou')",10.235215053763442
102,"('1tem', '0lou')",10.880376344086022
103,"('1dur', '0liv')",10.685483870967742
104,"('1dur', '0dan')",10.262096774193548
105,"('1dur', '1aco')",11.85483870967742
106,"('1dur', '0spe')",12.452956989247312
107,"('1dur', '1val')",12.211021505376344
108,"('1dur', '0ins')",14.038978494623656
109,"('1dur', '1spe')",10.463709677419354
110,"('1dur', '0tem')",10.772849462365592
111,"('1dur', '1lou')",11.418010752688172
112,"('1dur', '0aco')",11.478494623655914
113,"('1dur', '2tem')",11.98252688172043
114,"('1dur', '2lou')",13.736559139784946
115,"('1dur', '1tem')",10.571236559139784
116,"('2ins', '0pop')",17.338709677419356
117,"('2ins', '0liv')",13.266129032258064
118,"('2ins', '0dan')",14.435483870967742
119,"('2ins', '0val', '0dan')",11.733870967741936
120,"('2ins', '0val')",18.16532258064516
121,"('2ins', '0dur')",12.533602150537634
122,"('2ins', '1spe')",14.758064516129032
123,"('2ins', '0tem')",11.653225806451612
124,"('2ins', '0aco')",13.870967741935484
125,"('2ins', '2dur')",14.274193548387096
126,"('2ins', '0lou', '0val')",11.76747311827957
127,"('2ins', '0lou')",18.635752688172044
128,"('2ins', '1tem')",12.419354838709678
129,"('1ins', '0pop')",10.94758064516129
130,"('1ins', '0liv')",11.155913978494624
131,"('1ins', '0dan')",10.793010752688172
132,"('1ins', '1aco')",10.450268817204302
133,"('1ins', '0spe')",11.491935483870968
134,"('1ins', '1val')",11.834677419354838
135,"('1ins', '1spe')",10.34274193548387
136,"('1ins', '0tem')",10.02016129032258
137,"('1ins', '1lou')",11.545698924731184
138,"('1ins', '0aco')",14.086021505376344
139,"('1ins', '2dur')",11.364247311827958
140,"('1ins', '2tem')",12.143817204301076
141,"('1ins', '2lou')",12.755376344086022
142,"('1ins', '1tem')",11.155913978494624
143,"('1ins', '1dur')",12.768817204301076
144,"('1dan', '1aco')",11.606182795698924
145,"('1dan', '0spe')",13.588709677419356
146,"('1dan', '1val')",13.561827956989248
147,"('1dan', '0ins')",13.655913978494624
148,"('1dan', '0dur')",10.033602150537636
149,"('1dan', '0tem')",10.356182795698924
150,"('1dan', '1lou')",11.868279569892474
151,"('1dan', '0aco')",10.793010752688172
152,"('1dan', '2dur')",10.08736559139785
153,"('1dan', '2tem')",12.506720430107526
154,"('1dan', '2lou')",12.909946236559138
155,"('1dan', '1tem')",10.450268817204302
156,"('1dan', '1dur')",13.19220430107527
157,"('1dan', '1ins')",12.28494623655914
158,"('2aco', '0liv')",10.907258064516128
159,"('2aco', '0dan')",13.776881720430106
160,"('2aco', '0val')",13.266129032258064
161,"('2aco', '0spe')",16.008064516129032
162,"('2aco', '1val')",10.698924731182796
163,"('2aco', '0ins')",12.345430107526882
164,"('2aco', '0dur')",15.564516129032258
165,"('2aco', '1spe')",10.120967741935484
166,"('2aco', '0tem')",15.268817204301074
167,"('2aco', '0lou', '0dan')",10.853494623655914
168,"('2aco', '0lou', '0val')",10.873655913978494
