,duration_ms,popularity,danceability,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,-0.0201537501929409,0.46,0.69,-0.611468438535033,0.0975,0.302,0.536,0.281,0.635,0.6005195937853994
1,1.95692625679234,0.0,0.069,-2.6643678984713457,0.0805,0.283,0.934,0.36,0.0336,-1.582457310093755
2,0.8767468744157989,0.03,0.363,0.2389993625011644,0.0397,8.93e-05,0.8,0.262,0.489,-0.23803842349008583
3,0.2539627618514977,0.23,0.523,0.5464658885248723,0.0765,0.0664,0.00127,0.117,0.385,0.5565815520878089
4,0.6239907253819559,0.25,0.643,-0.4125687108733416,0.0539,0.000576,0.0969,0.299,0.637,0.6573670973986122
5,-0.1911735170155304,0.32,0.642,0.9747108866862936,0.0967,0.00152,2.39e-05,0.384,0.421,-0.19193788309597007
6,-0.1824338536143989,0.27,0.777,1.0682221968316978,0.0585,0.306,1.63e-05,0.299,0.85,-0.4554678378862143
7,-0.2267578288501152,0.64,0.741,0.5481387205489403,0.0797,0.0211,0.0,0.0981,0.574,0.726796411609793
8,-1.2416048057347522,0.45,0.153,-2.724422568135389,0.0501,0.704,0.913,0.543,0.0342,-1.2780692359918813
9,1.583486500726093,0.21,0.311,0.3055780770590729,0.0346,0.000116,0.222,0.225,0.119,0.5711948008552401
10,-0.5134852645941732,0.19,0.924,1.05500682384156,0.191,0.0166,0.859,0.0907,0.613,0.20006415334695973
11,-1.4106205110391852,0.21,0.885,0.0024609142979419,0.173,0.0878,0.963,0.0453,0.406,0.5303366815436112
12,-0.2492130937633133,0.22,0.792,0.452285445569841,0.105,0.116,4.02e-06,0.108,0.829,-0.45487806551443455
13,0.1258201356076138,0.51,0.406,-0.0222969996582651,0.0297,0.88,0.0,0.107,0.395,1.1802330701131118
14,-0.95851400845291,0.22,0.603,0.8897310198636366,0.0931,0.198,0.00035,0.133,0.816,-0.029979836778902084
15,-0.2263667924563286,0.25,0.529,0.8027437546120978,0.0422,0.000821,0.0743,0.306,0.589,0.3963272926225493
17,-0.4810292439098816,0.01,0.717,0.7821679207160608,0.291,0.0298,2.33e-06,0.133,0.792,0.3204432474535568
18,-1.168109515522552,0.14,0.883,-0.3556924220550279,0.0404,0.486,1.76e-05,0.0979,0.884,0.36539700823587823
19,-1.0736057950541644,0.45,0.747,0.3159496356082948,0.119,0.0264,0.888,0.102,0.71,-1.1118189574135275
20,-0.5528821812681778,0.53,0.679,0.4340515765074993,0.051,0.0221,0.00609,0.351,0.511,0.0030146509089976417
21,0.9807625551630468,0.2,0.454,-1.176383813062814,0.0371,0.793,0.00148,0.922,0.249,-0.00920674323954922
22,0.3819587494477114,0.18,0.522,0.5765768649580973,0.0436,0.00608,0.0,0.265,0.616,1.7114541514278252
23,0.0853869724900747,0.27,0.373,0.7918703464556556,0.09,0.000365,0.000162,0.0878,0.479,1.8387466883369508
24,-0.16131788834992,0.13,0.757,-2.4591114091181963,0.047,0.857,0.952,0.106,0.476,-0.6849875859038278
25,-0.3892921059275345,0.28,0.684,0.6538617044700413,0.0494,0.0174,0.0,0.323,0.808,-0.7821689667204215
26,1.6932210887324706,0.2,0.497,0.6426537299087853,0.0821,0.000247,0.349,0.252,0.232,1.0189303264313554
27,-1.0514535833461511,0.28,0.397,-0.1178157082325508,0.0503,0.275,0.969,0.0951,0.977,0.3800102570033103
28,0.0695988780909388,0.55,0.478,0.7376705888758506,0.0414,0.00432,0.0,0.154,0.353,1.3139148077165186
29,-1.0101894678918153,0.12,0.405,-0.9928741400225486,0.0419,0.863,0.72,0.134,0.748,-1.134394133199985
30,-0.2532505445291605,0.01,0.682,0.6664079446505518,0.0477,0.0158,0.218,0.0439,0.512,0.6589070585915925
31,3.1865597488741364,0.33,0.712,-0.4752999117758935,0.0516,0.0664,0.745,0.0998,0.0839,0.10265341660800704
32,0.1894417568767011,0.57,0.616,0.2026989075788877,0.0417,0.192,0.046,0.176,0.23,-0.12938924655555253
33,-0.9669897222882357,0.0,0.771,1.092980110787905,0.0265,0.533,0.0,0.105,0.713,-0.42034361663355496
34,3.0127147441064386,0.08,0.906,0.1392985738667085,0.0839,0.000146,0.845,0.116,0.51,0.10026156198912278
35,-0.6708383094539194,0.0,0.867,-0.0565900561516602,0.115,0.231,0.0,0.0872,0.204,-0.7794494607838817
36,-0.3276452184470698,0.26,0.631,0.5491424197633812,0.0761,0.627,3.66e-06,0.493,0.799,0.0055048009231789905
37,1.1533464675607827,0.18,0.318,0.5151839296747999,0.0531,1.21e-06,0.935,0.224,0.192,-1.108837330422863
38,-0.2923541839078251,0.0,0.78,0.1879779857670889,0.0282,0.0877,1.58e-05,0.573,0.83,0.16408803866839647
39,-0.8757413797981218,0.53,0.728,0.1934983314465135,0.043,0.256,0.00262,0.314,0.809,0.5274861150800085
40,0.1257712560583905,0.0,0.443,0.6336204369788178,0.0715,2.47e-05,0.00178,0.375,0.454,1.1809211378801887
41,-0.1637911935406206,0.5,0.556,-0.121997788292721,0.0269,0.0862,6.89e-06,0.0999,0.216,-1.6013300259907066
