,consequent,antecedent,abs_support,%_support,confidence,lift
0,0val,"('0dan', '0pop')",1316,8.844086021505376,0.7222832052689352,2.1646674913195882
1,0dan,"('0tem', '0val')",1345,9.038978494623656,0.7008858780614904,2.0967394180850376
2,0val,"('0tem', '0dan')",1345,9.038978494623656,0.7060367454068242,2.1159771946935635
3,0val,"('0lou', '0dan')",1737,11.673387096774194,0.7771812080536913,2.3291956446805493
4,0val,"('2ins', '0dan')",1746,11.733870967741936,0.8128491620111732,2.436091748383939
5,2ins,"('0lou', '0pop')",1418,9.529569892473118,0.7212614445574771,2.1642206684846257
6,0dan,"('2ins', '0lou', '0val')",1229,8.259408602150538,0.7018846373500857,2.0997272625189534
7,0lou,"('2ins', '0val', '0dan')",1229,8.259408602150538,0.7038946162657503,2.111683848797251
8,2ins,"('0lou', '0val', '0dan')",1229,8.259408602150538,0.7075417386298215,2.123053250819065
9,0lou,"('2ins', '0tem')",1226,8.239247311827958,0.707035755478662,2.121107266435986
10,0dan,"('2aco', '0val')",1422,9.556451612903226,0.7203647416413373,2.1550115310862688
11,0lou,"('2aco', '0dan')",1615,10.853494623655914,0.7878048780487805,2.3634146341463413
12,2aco,"('0lou', '0dan')",1615,10.853494623655914,0.7225950782997763,2.170410731752255
13,0dan,"('2aco', '0lou', '0val')",1250,8.400537634408602,0.7725587144622992,2.311152728427626
14,0val,"('2aco', '0lou', '0dan')",1250,8.400537634408602,0.7739938080495357,2.3196430742753456
15,2aco,"('0lou', '0val', '0dan')",1250,8.400537634408602,0.7196315486470927,2.1615093750239684
16,0lou,"('2aco', '0val')",1618,10.873655913978494,0.8196555217831814,2.4589665653495443
17,2aco,"('0lou', '0dur')",1526,10.255376344086022,0.7228801515869256,2.1712669874068333
18,2aco,"('0lou', '0tem')",1515,10.181451612903226,0.7109338338808071,2.135384628208803
19,0val,"('2aco', '2ins', '0lou')",1123,7.547043010752688,0.7085173501577287,2.1234115146721053
20,0lou,"('2aco', '2ins')",1585,10.651881720430108,0.8756906077348067,2.6270718232044197
21,0dan,"('2liv', '0val')",1127,7.573924731182796,0.7252252252252253,2.169551940360143
22,1tem,"('2dan', '0aco')",1113,7.479838709677419,0.7026515151515151,2.1083796219912374
23,1tem,"('2dan', '2dur')",1094,7.352150537634408,0.7235449735449735,2.1710726368923585
